"","logFC","logCPM","F","PValue","FDR"
"Rv1460",1.98434379434642,8.96192162670568,389.788780981476,1.80414729723197e-14,7.09751546731056e-11
"esxD",-1.16111309114777,7.69879633506071,113.881362685701,1.2040697754347e-09,2.36840524828006e-06
"ncRv3890c",-1.0283796495546,6.78444749939251,104.152064921412,2.55562585011648e-09,3.35127736478608e-06
"esxC",-1.07600219488982,7.89158010104442,95.200853275772,5.39460326254434e-09,4.67821148670748e-06
"Rv2336",-1.04824402844051,8.16996005110116,94.0842361108167,5.94587123374108e-09,4.67821148670748e-06
"Rv2633c",-1.11001406440692,8.90537007921084,86.5237082681834,1.17993193096686e-08,7.73642036070605e-06
"Rv1856c",1.03250982230163,6.32256118514757,83.7402588912104,1.64616953183558e-08,9.25147276891595e-06
"lipX",-1.16546281423052,4.62898398870367,81.4066335149084,1.93125403623097e-08,9.4969417231658e-06
"Rv0991c",-1.75233649409981,8.65682139196141,107.543006115432,4.15120188364519e-08,1.55930797460037e-05
"ncRv1094",1.29906542409542,6.98140501161867,92.7607829677101,4.15182759763199e-08,1.55930797460037e-05
"Rv1870c",0.923710525677603,6.98558870508403,74.3094806608756,4.36003754972141e-08,1.55930797460037e-05
"lprA",-0.939945725258197,6.770630402264,71.9197151220662,5.16375425326184e-08,1.69285076936101e-05
"sodA",-0.953045320531841,7.99903550803794,71.2000849923202,6.08345567361237e-08,1.78540742534004e-05
"ccdA",1.16608369881677,4.42896794915799,70.042085527192,6.35376307950191e-08,1.78540742534004e-05
"Rv3241c",-0.728541818417822,8.73147954925072,68.6283127411458,7.44314201840657e-08,1.86148969821613e-05
"gpsI",0.866921692374376,7.94312520748961,68.4781043328211,7.57087828455976e-08,1.86148969821613e-05
"rho",0.91528314799968,9.24834904064152,67.6204712345836,8.34800589620868e-08,1.93182677621676e-05
"pepR",1.10167239591526,6.27677606825561,71.4962058403643,1.2635997862084e-07,2.76166753274658e-05
"nrdF1",-0.69883182064714,7.58699428013999,62.4369103569122,1.53975711885112e-07,3.18810763450542e-05
"Rv3921c",0.746495707026362,7.65033908040565,61.3375676026857,1.76209933194733e-07,3.43091595209494e-05
"Rv1816",0.677375201013151,6.12464710937655,61.0261123605339,1.83144979649196e-07,3.43091595209494e-05
"Rv2638",-0.934430979102972,6.39979159381124,59.7687240745328,2.30717143832386e-07,4.12564201743912e-05
"Rv3528c",-1.43081265668016,7.10498136969739,83.4990771776622,2.51520850439346e-07,4.30210011142776e-05
"rplD",0.625516136277628,7.99206729160389,57.7196166854541,2.78409409620014e-07,4.56359423935473e-05
"dnaK",-1.29008986169469,10.5862802967575,61.9441547841016,2.96547231426772e-07,4.66646723373168e-05
"hemB",0.875703988028582,5.98257359865469,56.6789531723131,3.35887084744343e-07,5.08222996686248e-05
"kmtR",-1.18529859904585,4.51926208289617,55.5523995760748,3.70112661472344e-07,5.39267855641555e-05
"corA",-0.737855171792688,6.76086095941949,54.7423476165025,4.12467758034519e-07,5.79517200038499e-05
"sigC",0.588572750658456,6.448746831464,54.1900101773996,4.44452190446312e-07,6.02922385246825e-05
"phoH2",0.71920958095064,7.3635527076541,53.4850533889413,4.89305999105711e-07,6.41643266827289e-05
"Rv1498A",-0.931181505381202,4.90132640516508,52.5469301285042,5.56982975299807e-07,7.06829362848207e-05
"Rv3920c",0.866684246355671,6.6538087587223,54.6595522637938,6.50521517636119e-07,7.7652499069603e-05
"menE",0.979757179499031,4.55039240691458,51.3801469109531,6.55990100612946e-07,7.7652499069603e-05
"Rv3334",-1.08241253925559,5.80676727754201,51.8193770568953,6.71119717429208e-07,7.7652499069603e-05
"cydD",0.790572748368297,7.17370786811823,50.9019936508448,7.01751157625914e-07,7.88768301171527e-05
"PPE6",-0.630024862937878,7.57339207322702,50.4462336655416,7.48875103195588e-07,8.18354071103179e-05
"desA3",1.38721070738988,10.1539558647868,65.6762883336691,7.83664627124725e-07,8.33226119759099e-05
"PPE36",-0.952739858235644,5.21101108090621,49.6515587656459,8.39714659237247e-07,8.69325649852455e-05
"esxO",-0.686717523377197,8.79273379756632,49.1094184840203,9.08501797603411e-07,9.16422069685082e-05
"gid",0.780680642587689,5.64891376078563,48.5006518196372,9.93406292759785e-07,9.77015088929249e-05
"fadE15",-0.774491129923336,7.17453807828789,48.6172282745186,1.02178647307887e-06,9.80416581729823e-05
"helY",0.675553567248081,6.66674501340197,47.8905193664177,1.08720041630337e-06,0.000101834438993749
"coaE",0.71008162066344,6.8369293836365,46.275000789413,1.38652496449015e-06,0.000126850911867541
"rnhB",0.704612753140391,6.20954603246733,46.1007100898825,1.42391272458371e-06,0.000127310742238916
"Rv0854",-0.702464435039456,6.3677416677106,45.9351130713989,1.46039685320176e-06,0.000127671138233238
"Rv2248",0.695539955189472,5.70631899645128,45.7489638519877,1.50279290236035e-06,0.000128521462562731
"TB16.3",-0.632183709330644,7.92479982653987,45.4479076082723,1.57402037619381e-06,0.000131748854466946
"PE19",-0.647746235152363,8.24838841310584,45.1199182002118,1.65599194575242e-06,0.000135722339887292
"Rv0514",1.11570426670264,4.01737477315681,44.9102611204612,1.71203821428866e-06,0.000137452210918604
"ncRv1181",-0.625436703046697,5.76235995814821,44.5604712854459,1.80694245483406e-06,0.000142170232346344
"rplC",0.537345763568998,8.45251453861601,44.3948913697525,1.85440662710638e-06,0.000143043836686991
"Rv0077c",-0.934288426939533,5.38170692294484,44.1638281664094,1.9231634536564e-06,0.000145494712051621
"esxP",-0.786901716779446,7.47171339602668,45.2974211259861,2.0293345746257e-06,0.000150630230501463
"tsnR",0.705055762055759,6.57762417966989,43.6909257860192,2.07243805142429e-06,0.000150980949894503
"Rv1269c",-0.830817964293543,5.66511727513782,43.301017740542,2.20527777976422e-06,0.00015773750519259
"Rv3228",1.34357662212982,7.15137443117947,66.5184744789158,2.28903938405956e-06,0.000160805016730184
"trxC",-0.724469219802781,7.80326053896648,42.9422546345688,2.33568112910085e-06,0.000161202974769872
"Rv0455c",-0.581325970463829,7.33078143222007,42.746117308917,2.41060816489817e-06,0.00016350573311568
"Rv1481",0.675125884647665,6.3659453525548,42.3968459134583,2.55075569472006e-06,0.000169163740709315
"Rv2959c",-0.841352904301089,6.70792557967458,45.1770374620288,2.58002654869316e-06,0.000169163740709315
"ksgA",0.675025061536846,5.89239313189832,42.1631684902325,2.64957511481872e-06,0.000170875877076997
"Rv2632c",-0.641494680873824,7.53842295834261,41.77206940022,2.82416110505678e-06,0.000179197577214409
"Rv0825c",-0.634646299303209,6.340866057883,41.5805672003418,2.91435259162634e-06,0.000181985128499333
"Rv0528",0.845970455438406,5.21576678751488,41.3883552165443,3.00837192603105e-06,0.000184920861828221
"ncRv1461",-0.881661976622701,6.87898248475882,42.2236464542729,3.07695019030577e-06,0.000186226493056352
"Rv2021c",-0.704686861173964,5.82679216352735,41.0834519270081,3.16368959684852e-06,0.000188575073848516
"Rv0435c",0.629902513348985,5.75147207514319,40.8898059969153,3.26716231235748e-06,0.000191114443539582
"cydC",0.950603917345798,6.34536027359216,43.0141588547381,3.30345250653065e-06,0.000191114443539582
"Rv0740",-0.679808513218406,5.865458173158,40.6770259592963,3.38499971055149e-06,0.000192994041468255
"moeB2",-0.548267332591066,6.99719008254311,40.4769246540454,3.50007429361081e-06,0.000196704175300928
"Rv2197c",0.564899834044419,6.25970211263759,40.2770838296184,3.61953001963601e-06,0.000199463276826449
"truA",0.780458843146192,6.45899824685452,42.3633858403244,3.65057344471387e-06,0.000199463276826449
"Rv0513",0.688181673438255,5.72066069666266,38.5988607745588,4.81909618122663e-06,0.000259703073656789
"Rv3651",-0.669498259152463,5.26366671584265,38.4448697397475,4.9495088842688e-06,0.00026312659392856
"Rv1533",0.548384083854723,5.92415042279836,38.3212051178558,5.0568049297145e-06,0.000265246274579958
"Rv2189c",1.04685047939778,4.78964343204669,40.5609958023941,5.19831361495883e-06,0.000268089037594863
"ligD",0.580937946944315,6.65926214271002,38.1088081456823,5.24729433014856e-06,0.000268089037594863
"Rv3922c",0.71635178811036,6.30808291856916,38.2261307572485,5.94180736869649e-06,0.000297721473805596
"Rv2681",0.636343807295758,5.9689012953004,37.3665965541775,5.97864677952265e-06,0.000297721473805596
"Rv1922",-0.681586557320849,5.16961012060074,36.2643001654868,7.28058978598308e-06,0.000357556592708077
"Rv2659c",-0.696493038508064,5.23193559398071,36.2027187642399,7.36199390171688e-06,0.000357556592708077
"Rv1500",-0.690420574858837,6.27405451479691,36.002687279729,7.89736117174999e-06,0.000378880717678835
"aftD",0.608804767250473,6.8204509564002,35.3940342706148,8.52960744536483e-06,0.000401430230571628
"pdxH",-0.807477808089065,4.39402088235321,35.3684134975878,8.5714639979707e-06,0.000401430230571628
"nuoL",0.576657406352884,7.37076523736392,35.1510520572083,8.91942143502757e-06,0.000409564835179537
"hemL",0.585338112955111,6.12028442891486,35.1304764755439,8.95337463788515e-06,0.000409564835179537
"esxN",-0.523327563658174,7.82151625871277,35.0645710580743,9.06266514962536e-06,0.000409799134466967
"embR",-0.789772393656658,5.28640243261985,34.7376162394763,9.62884408353936e-06,0.000430453098007317
"Rv2658c",-1.20862145370278,4.55829799652012,34.8295831118347,9.89847929095661e-06,0.000435345166919088
"desA2",1.14297413795715,9.2767619094789,45.7827924987567,9.96270048521579e-06,0.000435345166919088
"Rv1507A",-0.844472239972512,5.67767429823419,36.144052971903,1.00702618682351e-05,0.000435345166919088
"Rv0079",-0.869454756393259,10.2051338274877,34.3120724971388,1.04242760503846e-05,0.000444490207379221
"hsdS",0.781330250173602,4.52995767094573,34.2706059105419,1.05077756192851e-05,0.000444490207379221
"Rv0349",-0.720680794265965,5.13302420653446,34.1955874003785,1.06546373405286e-05,0.000445907907421696
"cyp136",-0.489805530743513,7.38713126268586,34.1032179182529,1.08404152090519e-05,0.000448907299288529
"virS",-0.768535220406328,4.97379952221718,33.9587692920416,1.11401149045901e-05,0.000454633521081098
"Rv1480",0.487299181937859,7.03137463016714,33.8389355398335,1.13941999533951e-05,0.000454633521081098
"Rv0541c",0.818881784269955,4.43925192603395,33.8371601876256,1.1400801533466e-05,0.000454633521081098
"ripA",0.515323371520381,8.10175910460187,33.7730631816845,1.153701944506e-05,0.000454633521081098
"murC",0.556850555629706,5.74664933064882,33.7644146414881,1.15565206172114e-05,0.000454633521081098
"Rv2660c",-0.756031316202054,6.26648970868018,33.8131572705936,1.18214600586165e-05,0.000458933308342792
"Rv2553c",0.516133418223352,6.6321441619034,33.5698867069955,1.19902032696518e-05,0.000458933308342792
"engA",0.665298533411845,5.23061352679901,33.5103109195991,1.2127904980316e-05,0.000458933308342792
"rpsR1",-0.562885066690029,6.42947408959542,33.5029688774097,1.21437697608987e-05,0.000458933308342792
"Rv2348c",-0.498287184987651,8.5851792477074,33.4456724009883,1.2276837839065e-05,0.000458933308342792
"cdh",-0.519673410042217,7.76119615466221,33.3825578332225,1.2425400056605e-05,0.000458933308342792
"Rv1893",-0.600974893760056,5.90338883738157,33.2802012431881,1.26708233026853e-05,0.000458933308342792
"Rv3406",-0.93525218959803,4.04459919236268,33.2451305121791,1.27578618733018e-05,0.000458933308342792
"ahpC",-1.51067761882985,7.10441418278597,55.9877635614852,1.27618203700215e-05,0.000458933308342792
"cyp125",-0.605229297221822,6.41568572273256,33.2138288711512,1.28324005891477e-05,0.000458933308342792
"Rv0157A",-0.606243179326026,6.86323991526514,33.0111995736835,1.334064543492e-05,0.000472192981879694
"rplB",0.493801488855761,8.30550444448541,32.971335022879,1.34432165659699e-05,0.000472192981879694
"Rv1478",0.556298956409568,6.80799667088883,32.9234996608185,1.35674939798453e-05,0.000472340896608066
"Rv3212",0.909078997587332,6.66845048567734,40.3941265786198,1.39895345881761e-05,0.000482761658507763
"rpoB",0.549265363722721,10.108331848055,32.7070697507602,1.41456474016716e-05,0.00048390414676675
"pks12",0.617449131775952,7.87618632384805,32.7744195807526,1.45602865718695e-05,0.000493794546325298
"espF",-0.57029431557596,7.51681051390907,32.4078073315515,1.49903899134244e-05,0.000504035845465056
"ctpH",0.472981962917893,8.2526218182923,32.1104965726291,1.58850101638316e-05,0.000529590084614521
"mtrB",0.520916594121445,7.90102125260871,31.9305014491982,1.64551491073841e-05,0.000543029395364028
"cyp137",0.510386657785218,7.01839577745377,31.896866820474,1.65641910126292e-05,0.000543029395364028
"choD",0.513632204386384,8.48461067641514,31.7290275571349,1.71202174984293e-05,0.000556619302800172
"Rv3378c",-0.813458663135936,5.22667271203819,31.7855812172232,1.76326146550737e-05,0.000568579557811968
"Rv0276",-0.660202366075447,9.71345952792869,31.4550164638856,1.80727820315707e-05,0.000577756351893315
"ppiB",-0.508844370278719,6.04395491855999,31.4168100355451,1.82109272076185e-05,0.000577756351893315
"ispF",0.509105190264966,7.04801133158489,31.2480642482235,1.88310079288327e-05,0.000592649481536222
"ncRv2247",0.701865032292398,6.09536711369353,31.4238803010694,1.91034121714328e-05,0.000596450980019179
"che1",0.553075939169862,8.11944842843732,31.0842373949602,1.94560768479548e-05,0.000602678789920113
"Rv2817c",1.04827358539114,7.49878884122077,43.8972537087855,1.96125810337415e-05,0.0006027804202089
"espC",-0.661942498572794,11.1637435734919,30.8629342130125,2.03370921525065e-05,0.000620202484712872
"ncRv3582c",0.617692971973663,5.29075984833749,30.5466393724436,2.16747263577075e-05,0.000655910565317088
"Rv0565c",-0.522699421128834,5.77656789569189,30.4935352639553,2.1908026909855e-05,0.00065790975468221
"ruvA",0.937435788219366,4.29029010519083,30.4330411951771,2.21804006731664e-05,0.000661043153395733
"modA",0.620607137529925,5.02407765828187,30.3028560223326,2.27719582029825e-05,0.000673570553161902
"fadD9",0.620948851999624,8.24902384340747,30.3472079233662,2.34548493562254e-05,0.000688592368413363
